artists,available_markets,disc_number,duration_ms,explicit,href,id,name,preview_url,track_number,type,uri,is_local,external_urls.spotify,album,popularity
,,1,323240,FALSE,https://api.spotify.com/v1/tracks/17z8eLCkciVamEqXJS6Ri8,17z8eLCkciVamEqXJS6Ri8,Rock 'n' Roll Star,NA,1,track,spotify:track:17z8eLCkciVamEqXJS6Ri8,FALSE,https://open.spotify.com/track/17z8eLCkciVamEqXJS6Ri8,Definitely Maybe,52
,,1,308453,FALSE,https://api.spotify.com/v1/tracks/74iWqrYDBNOKu02OZzEpun,74iWqrYDBNOKu02OZzEpun,Shakermaker,NA,2,track,spotify:track:74iWqrYDBNOKu02OZzEpun,FALSE,https://open.spotify.com/track/74iWqrYDBNOKu02OZzEpun,Definitely Maybe,44
,,1,276866,FALSE,https://api.spotify.com/v1/tracks/5IfBLN9VPPJOwcKmAZhdXe,5IfBLN9VPPJOwcKmAZhdXe,Live Forever,NA,3,track,spotify:track:5IfBLN9VPPJOwcKmAZhdXe,FALSE,https://open.spotify.com/track/5IfBLN9VPPJOwcKmAZhdXe,Definitely Maybe,61
,,1,268880,FALSE,https://api.spotify.com/v1/tracks/2ngDHmVRytmK4JpizzgaL7,2ngDHmVRytmK4JpizzgaL7,Up In The Sky,NA,4,track,spotify:track:2ngDHmVRytmK4JpizzgaL7,FALSE,https://open.spotify.com/track/2ngDHmVRytmK4JpizzgaL7,Definitely Maybe,42
,,1,377000,FALSE,https://api.spotify.com/v1/tracks/3UNjVOeuOZMaZ3tCewkBoD,3UNjVOeuOZMaZ3tCewkBoD,Columbia,NA,5,track,spotify:track:3UNjVOeuOZMaZ3tCewkBoD,FALSE,https://open.spotify.com/track/3UNjVOeuOZMaZ3tCewkBoD,Definitely Maybe,45
,,1,283744,FALSE,https://api.spotify.com/v1/tracks/01Ox3uPKBqENtiWNlVaRdD,01Ox3uPKBqENtiWNlVaRdD,Supersonic,NA,6,track,spotify:track:01Ox3uPKBqENtiWNlVaRdD,FALSE,https://open.spotify.com/track/01Ox3uPKBqENtiWNlVaRdD,Definitely Maybe,60
,,1,257853,FALSE,https://api.spotify.com/v1/tracks/7tRRdL530t77jJEUI24Off,7tRRdL530t77jJEUI24Off,Bring It On Down,NA,7,track,spotify:track:7tRRdL530t77jJEUI24Off,FALSE,https://open.spotify.com/track/7tRRdL530t77jJEUI24Off,Definitely Maybe,41
,,1,289373,TRUE,https://api.spotify.com/v1/tracks/3nK2qGHdVAEOuVAmMSWQPW,3nK2qGHdVAEOuVAmMSWQPW,Cigarettes & Alcohol,NA,8,track,spotify:track:3nK2qGHdVAEOuVAmMSWQPW,FALSE,https://open.spotify.com/track/3nK2qGHdVAEOuVAmMSWQPW,Definitely Maybe,52
,,1,152293,FALSE,https://api.spotify.com/v1/tracks/6BbILdQ9XCDwuCI7UglcVy,6BbILdQ9XCDwuCI7UglcVy,Digsy's Dinner,NA,9,track,spotify:track:6BbILdQ9XCDwuCI7UglcVy,FALSE,https://open.spotify.com/track/6BbILdQ9XCDwuCI7UglcVy,Definitely Maybe,46
,,1,392773,FALSE,https://api.spotify.com/v1/tracks/1CZpWzCvN6fl2WslWTyPn2,1CZpWzCvN6fl2WslWTyPn2,Slide Away,NA,10,track,spotify:track:1CZpWzCvN6fl2WslWTyPn2,FALSE,https://open.spotify.com/track/1CZpWzCvN6fl2WslWTyPn2,Definitely Maybe,58
,,1,192546,TRUE,https://api.spotify.com/v1/tracks/0oemhAQXaaIHCEARF9JFGg,0oemhAQXaaIHCEARF9JFGg,Married With Children,NA,11,track,spotify:track:0oemhAQXaaIHCEARF9JFGg,FALSE,https://open.spotify.com/track/0oemhAQXaaIHCEARF9JFGg,Definitely Maybe,58
,,1,203186,FALSE,https://api.spotify.com/v1/tracks/4qYlBtzkmby4r1N7etPnUv,4qYlBtzkmby4r1N7etPnUv,Hello,NA,1,track,spotify:track:4qYlBtzkmby4r1N7etPnUv,FALSE,https://open.spotify.com/track/4qYlBtzkmby4r1N7etPnUv,Morning Glory,52
,,1,239826,FALSE,https://api.spotify.com/v1/tracks/1Xip3AM9yC2aeUIuhKftP5,1Xip3AM9yC2aeUIuhKftP5,Roll With It,NA,2,track,spotify:track:1Xip3AM9yC2aeUIuhKftP5,FALSE,https://open.spotify.com/track/1Xip3AM9yC2aeUIuhKftP5,Morning Glory,55
,,1,258906,FALSE,https://api.spotify.com/v1/tracks/1qPbGZqppFwLwcBC1JQ6Vr,1qPbGZqppFwLwcBC1JQ6Vr,Wonderwall,NA,3,track,spotify:track:1qPbGZqppFwLwcBC1JQ6Vr,FALSE,https://open.spotify.com/track/1qPbGZqppFwLwcBC1JQ6Vr,Morning Glory,76
,,1,287826,FALSE,https://api.spotify.com/v1/tracks/7ppPZa3TRUSGKaks9wH7VT,7ppPZa3TRUSGKaks9wH7VT,Don't Look Back In Anger,NA,4,track,spotify:track:7ppPZa3TRUSGKaks9wH7VT,FALSE,https://open.spotify.com/track/7ppPZa3TRUSGKaks9wH7VT,Morning Glory,71
,,1,341906,FALSE,https://api.spotify.com/v1/tracks/1IsOKJDayHwNyZKGpMyaql,1IsOKJDayHwNyZKGpMyaql,Hey Now!,NA,5,track,spotify:track:1IsOKJDayHwNyZKGpMyaql,FALSE,https://open.spotify.com/track/1IsOKJDayHwNyZKGpMyaql,Morning Glory,51
,,1,44626,FALSE,https://api.spotify.com/v1/tracks/1k2jYPMAJH5MQABhIY81cR,1k2jYPMAJH5MQABhIY81cR,The Swamp Song - Version 1,NA,6,track,spotify:track:1k2jYPMAJH5MQABhIY81cR,FALSE,https://open.spotify.com/track/1k2jYPMAJH5MQABhIY81cR,Morning Glory,38
,,1,327920,FALSE,https://api.spotify.com/v1/tracks/6CpEUxOlhcynZpIvPY08iv,6CpEUxOlhcynZpIvPY08iv,Some Might Say,NA,7,track,spotify:track:6CpEUxOlhcynZpIvPY08iv,FALSE,https://open.spotify.com/track/6CpEUxOlhcynZpIvPY08iv,Morning Glory,57
,,1,294813,FALSE,https://api.spotify.com/v1/tracks/5TIvGpN4qPVBrJX8KGOP9D,5TIvGpN4qPVBrJX8KGOP9D,Cast No Shadow,NA,8,track,spotify:track:5TIvGpN4qPVBrJX8KGOP9D,FALSE,https://open.spotify.com/track/5TIvGpN4qPVBrJX8KGOP9D,Morning Glory,48
,,1,220920,FALSE,https://api.spotify.com/v1/tracks/4yCihiznWkDsbuIqf6mSiG,4yCihiznWkDsbuIqf6mSiG,She's Electric,NA,9,track,spotify:track:4yCihiznWkDsbuIqf6mSiG,FALSE,https://open.spotify.com/track/4yCihiznWkDsbuIqf6mSiG,Morning Glory,60
,,1,303533,FALSE,https://api.spotify.com/v1/tracks/3MT6rJBU7VUAPWtQsowIQv,3MT6rJBU7VUAPWtQsowIQv,Morning Glory,NA,10,track,spotify:track:3MT6rJBU7VUAPWtQsowIQv,FALSE,https://open.spotify.com/track/3MT6rJBU7VUAPWtQsowIQv,Morning Glory,56
,,1,39360,FALSE,https://api.spotify.com/v1/tracks/533YtUwTnM5FeGRw5fRf5z,533YtUwTnM5FeGRw5fRf5z,The Swamp Song - Version 2,NA,11,track,spotify:track:533YtUwTnM5FeGRw5fRf5z,FALSE,https://open.spotify.com/track/533YtUwTnM5FeGRw5fRf5z,Morning Glory,37
,,1,450506,FALSE,https://api.spotify.com/v1/tracks/6EMynpZ10GVcwVqiLZj6Ye,6EMynpZ10GVcwVqiLZj6Ye,Champagne Supernova,NA,12,track,spotify:track:6EMynpZ10GVcwVqiLZj6Ye,FALSE,https://open.spotify.com/track/6EMynpZ10GVcwVqiLZj6Ye,Morning Glory,65
,,1,280413,FALSE,https://api.spotify.com/v1/tracks/2Sr49PY1vTWFQ8gqMMq0gr,2Sr49PY1vTWFQ8gqMMq0gr,Bag It Up,NA,1,track,spotify:track:2Sr49PY1vTWFQ8gqMMq0gr,FALSE,https://open.spotify.com/track/2Sr49PY1vTWFQ8gqMMq0gr,Dig Out Your Soul,40
,,1,304840,FALSE,https://api.spotify.com/v1/tracks/6YlPyetTxElSCqgKzbPLqb,6YlPyetTxElSCqgKzbPLqb,The Turning,NA,2,track,spotify:track:6YlPyetTxElSCqgKzbPLqb,FALSE,https://open.spotify.com/track/6YlPyetTxElSCqgKzbPLqb,Dig Out Your Soul,38
,,1,182986,FALSE,https://api.spotify.com/v1/tracks/1lwJ1fYnkOhLc2xTO2klQ2,1lwJ1fYnkOhLc2xTO2klQ2,Waiting For The Rapture,NA,3,track,spotify:track:1lwJ1fYnkOhLc2xTO2klQ2,FALSE,https://open.spotify.com/track/1lwJ1fYnkOhLc2xTO2klQ2,Dig Out Your Soul,38
,,1,299946,FALSE,https://api.spotify.com/v1/tracks/72pRggptACNxeYG0vG3V3Q,72pRggptACNxeYG0vG3V3Q,The Shock Of The Lightning,NA,4,track,spotify:track:72pRggptACNxeYG0vG3V3Q,FALSE,https://open.spotify.com/track/72pRggptACNxeYG0vG3V3Q,Dig Out Your Soul,51
,,1,250013,FALSE,https://api.spotify.com/v1/tracks/4aSd0vbnxF53nvAdzpLYXQ,4aSd0vbnxF53nvAdzpLYXQ,I'm Outta Time,NA,5,track,spotify:track:4aSd0vbnxF53nvAdzpLYXQ,FALSE,https://open.spotify.com/track/4aSd0vbnxF53nvAdzpLYXQ,Dig Out Your Soul,54
,,1,246786,FALSE,https://api.spotify.com/v1/tracks/4gDGqWJ5fkAHRbCVpQzsWP,4gDGqWJ5fkAHRbCVpQzsWP,(Get Off Your) High Horse Lady,NA,6,track,spotify:track:4gDGqWJ5fkAHRbCVpQzsWP,FALSE,https://open.spotify.com/track/4gDGqWJ5fkAHRbCVpQzsWP,Dig Out Your Soul,34
,,1,260079,FALSE,https://api.spotify.com/v1/tracks/7Do5xcVXgjNEbXzYUSrPvg,7Do5xcVXgjNEbXzYUSrPvg,Falling Down,NA,7,track,spotify:track:7Do5xcVXgjNEbXzYUSrPvg,FALSE,https://open.spotify.com/track/7Do5xcVXgjNEbXzYUSrPvg,Dig Out Your Soul,45
,,1,275746,FALSE,https://api.spotify.com/v1/tracks/2y0SyUEvPGxPlr2etqWwTA,2y0SyUEvPGxPlr2etqWwTA,To Be Where There's Life,NA,8,track,spotify:track:2y0SyUEvPGxPlr2etqWwTA,FALSE,https://open.spotify.com/track/2y0SyUEvPGxPlr2etqWwTA,Dig Out Your Soul,34
,,1,134813,FALSE,https://api.spotify.com/v1/tracks/4ZBgFddIwGa3QQRjPCrArj,4ZBgFddIwGa3QQRjPCrArj,Ain't Got Nothin',NA,9,track,spotify:track:4ZBgFddIwGa3QQRjPCrArj,FALSE,https://open.spotify.com/track/4ZBgFddIwGa3QQRjPCrArj,Dig Out Your Soul,31
,,1,227866,FALSE,https://api.spotify.com/v1/tracks/3EWwXqQFCU1fslWA8kFe5q,3EWwXqQFCU1fslWA8kFe5q,The Nature Of Reality,NA,10,track,spotify:track:3EWwXqQFCU1fslWA8kFe5q,FALSE,https://open.spotify.com/track/3EWwXqQFCU1fslWA8kFe5q,Dig Out Your Soul,32
,,1,290746,FALSE,https://api.spotify.com/v1/tracks/5Oic0B3dkkCUQL1rnBQ3do,5Oic0B3dkkCUQL1rnBQ3do,Soldier On,NA,11,track,spotify:track:5Oic0B3dkkCUQL1rnBQ3do,FALSE,https://open.spotify.com/track/5Oic0B3dkkCUQL1rnBQ3do,Dig Out Your Soul,33
